train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.5848388671875,1.404416561126709,0.0002047020345470364,12826796848897.115,8.113495443072536e-06,0.00012130091777577047,6911134842766.936,7.099450787513653e-06,5.576817810041443e-05,7981744040785.755,3.273309293184451e-06,0.037070887685337825,0.03928689594854936,0.0368275831365964,0.045157471648049334,0.049315141968331894,0.045620440315606144,0.021528137177829167,0.028232747978404697,0.02288244750685552,0.021058291743387334,0.02810688809460468,0.022903849679889787
1000,1.5848388671875,0.46686816215515137,0.0002323034941704355,15812834754917.277,9.368274826868407e-06,0.0002185519451250547,19342406793948.484,1.1458049536643455e-05,0.00012652750733749922,17916745987906.875,6.304197401179745e-06,0.03785488716445345,0.03881138556681891,0.037759044578679395,0.04487401335472728,0.04781525401276294,0.045358811146081736,0.017119156353779533,0.021189070108220555,0.01721480975819251,0.0172213045604611,0.021147560578100175,0.01724012764223957
1500,1.5848388671875,0.5547995567321777,0.0001907835290161752,12840267947062.21,8.24626828271762e-06,0.000128637850534349,8444305812889.496,6.4982364151275364e-06,6.932701240066095e-05,7477662833230.274,3.189799027521418e-06,0.03863096890955856,0.03942817713245937,0.03851126583756199,0.041446308818399884,0.04290374312856866,0.04171318674927023,0.012492010478219545,0.01622875643457176,0.01313392982731214,0.012521324988085612,0.016227841317863267,0.013128059784918435
2000,1.5854899088541667,0.6490578651428223,0.00017956812476938044,10808795879182.078,7.442855741204984e-06,0.00012537371996736385,9564579059971.408,6.555612724203555e-06,6.319811145370817e-05,9189984757030.133,3.258112400211913e-06,0.03906923256234136,0.03978623697037064,0.03893735923597169,0.041538529905054355,0.04252599309540624,0.04154992273516642,0.011022467477152152,0.014425768168431326,0.011268779281080433,0.011202476125797124,0.014559008125809864,0.01135193424948593
2500,1.5848388671875,0.7225852012634277,0.0001847196692009468,11089361160449.344,7.863884515627867e-06,0.00012233564225948236,6698948166439.752,6.214268285603401e-06,4.30166729131372e-05,4690949766875.111,1.9877811947094164e-06,0.03939616154584529,0.0398982458805305,0.03921841307636274,0.041314339659868145,0.04166298538012511,0.0413184422359198,0.00961324208810759,0.011646722156489648,0.010194128092540068,0.009806700129201654,0.01179515335487033,0.010311478887751404
3000,1.5861409505208333,0.8188440799713135,0.00016532570272927155,9771679431494.281,7.136891065828072e-06,0.0001432627139723724,7641105783572.436,7.007270215704465e-06,3.803786669676207e-05,3785512116432.6987,1.814258033308311e-06,0.03958581599950448,0.039931046951923115,0.03942690014158312,0.041557756404214705,0.041675798371326254,0.041554183080880915,0.009185870239038225,0.010843187520920504,0.009128632259618949,0.009286784645827037,0.010853932623679896,0.009151836136294776
3500,1.5861409505208333,0.8946335315704346,0.00016674470474835313,8714885156510.176,6.803205315124191e-06,0.00013799213205140283,7035292694315.71,6.630952232892072e-06,3.507315101377877e-05,3473427891365.0825,1.6136249302669157e-06,0.04015123044600133,0.04043948396439589,0.03999288193394828,0.041114902607019985,0.04137272873437434,0.04125905158066175,0.008655379471900364,0.010200730563426352,0.008610718901468818,0.008648070892823222,0.01010415697729952,0.008526291785562141
4000,1.5867919921875,0.9941980838775635,0.0001529374454357151,8171203399512.861,6.3637755761226295e-06,0.0001528716598572032,7837699510364.74,7.153984172742088e-06,3.3045875593468843e-05,3357171739976.9585,1.5742943055297171e-06,0.04018466147691551,0.040385231111762655,0.04002444199251166,0.04095716370013626,0.041490429663672924,0.041089665586415934,0.007685617846767214,0.00962755936172777,0.007802516935380239,0.00767871161565497,0.00952416923417153,0.007732757919736606
4500,1.5867919921875,1.084089994430542,0.00016462886483971972,8612691246000.603,6.632671521529165e-06,0.00014317017590703387,6972063958993.378,6.61198893479606e-06,2.4027757673398728e-05,2489935244791.1377,1.0048520639128345e-06,0.04018270545137624,0.04037811886307689,0.0400494687151434,0.04069910393955399,0.0412597091906041,0.040887798316038025,0.007402946396448925,0.009273936283037704,0.007683990830110179,0.00739283687488743,0.009217920970859802,0.007636913974204145
5000,1.5867919921875,1.180481195449829,0.00017067887639420093,8978785648219.65,6.9155362595527886e-06,0.00014059073319375325,6583830646127.495,6.623500336184457e-06,2.033274316371173e-05,1740141307634.205,8.545918995734328e-07,0.04038837589275152,0.04058206112408386,0.04028653565593543,0.03989837333654631,0.040403239302730466,0.04002317925111493,0.006994987899999496,0.008677966498622371,0.007369130576035143,0.007050766775267836,0.008679925512042348,0.007371634287121644
