train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.2502034505208333,5.251078367233276,0.0016538168429624906,80593097392782.88,6.695355427350225e-05,0.001003509145605661,39179575954622.766,4.8652793553806496e-05,6.509095328493083e-05,3594684796216.878,3.4100241948763867e-06,0.11793622342018124,0.11636225178562071,0.11640536576094812,0.12211924632373068,0.12266483252883621,0.12170893186230805,0.02586300617382428,0.028056877580632526,0.025609447337607994,0.024880539971668367,0.02748417422365598,0.025360970784863324
1000,1.2795003255208333,5.609110116958618,0.0014365605760019216,67921107158959.65,5.856892730426014e-05,0.0009718646658587964,38406964706021.39,5.009014378174504e-05,8.284631969711904e-05,8396866007427.36,3.89337269615532e-06,0.11661037193138665,0.11771697203040328,0.11675495240025936,0.12269381290036566,0.12512410460928228,0.12283171515365673,0.020008334605085953,0.02918969152968559,0.021913694166330166,0.020892520585695715,0.02871139087740996,0.022326191607660875
1500,1.3140055338541667,5.654847621917725,0.0013509937002957138,60155051981644.8,5.609828228730686e-05,0.000848082526281107,37141965751654.766,4.185619678986959e-05,5.341919062049603e-05,2025992370233.1968,2.2060287791782026e-06,0.11788518773896173,0.11780209080712988,0.11776292609919065,0.12173066301094647,0.12151670165388746,0.12084907061054552,0.020735646087014482,0.022978324657287403,0.019937530989645416,0.02063965285613249,0.022536425181677144,0.019981267776442956
2000,1.4064534505208333,6.817117929458618,0.001297283743382526,57021895460201.88,5.34139830739264e-05,0.0007516772905492162,29434122088721.207,3.808929856316658e-05,9.831419199504952e-05,10349545270660.936,4.239178874894543e-06,0.12024563454681021,0.11990998063888712,0.1196733081297065,0.12068631895812204,0.12064925349300533,0.12035554644760689,0.01702474234274666,0.019069876894616585,0.016648262928716528,0.01704283834778629,0.01921143822001608,0.017525108285343392
2500,1.4696044921875,6.8821752071380615,0.0013996093947964473,61963969880251.35,5.604547087460423e-05,0.0008312877896924058,29134253626681.92,4.272539428961302e-05,9.634109989765519e-05,7107665174608.832,2.914897846542451e-06,0.12115111394204321,0.12096480954093526,0.12055723357570587,0.12157544886558087,0.12106638451131325,0.1210590738574062,0.016921881069396738,0.015424091118521123,0.013865705234817097,0.018410484692259872,0.01685452963514364,0.01729693642971874
3000,1.5555419921875,6.936079502105713,0.0012834278184962497,57089121899185.555,5.212277799550019e-05,0.0009519472911366708,37895508340951.07,4.666350681543681e-05,4.0354033564626786e-05,7280037835079.844,2.387084775771221e-06,0.1214900014833471,0.12133330021111195,0.12085507110230072,0.12181846224973958,0.12250089674785059,0.12189889612417683,0.015837936075868267,0.01649787035048931,0.01345559555673701,0.015783369671345814,0.016817687291719244,0.01669493056896357
3500,1.6811930338541667,7.005733966827393,0.0013003594357607264,58054111090810.08,5.269232448539326e-05,0.0009352278077107245,36043843972190.695,4.471184667885928e-05,8.999286184488486e-05,6605459447993.255,1.9817984233376046e-06,0.1229079587746237,0.12314691357940583,0.12246703523131985,0.12116801360485724,0.12183409546345157,0.12109025042516844,0.01517033738670959,0.014839061858299439,0.012397321190187442,0.016467066457775632,0.014845687922999003,0.016314695629571132
4000,1.8087972005208333,7.139144659042358,0.0011978363331860526,55438850567768.93,4.97783314148874e-05,0.0010609135236931157,40459426528209.234,4.87177332878117e-05,8.130624574622095e-05,6010069721063.812,1.276464620863666e-06,0.12331020878953969,0.12438088127318576,0.12281147048497604,0.12153030018313098,0.12357959384391505,0.12139703782036061,0.015861888244797638,0.02143381298701572,0.011214234623467146,0.01564094740229137,0.024183764891806188,0.013748045662345066
4500,2.0145263671875,7.399832725524902,0.001288067033712276,58012106799394.586,5.2723953513818145e-05,0.0010876772435746073,41932585183890.67,5.0008787590121714e-05,7.617985894241454e-05,3695509423195.132,1.149715484606463e-06,0.12323784209986575,0.12335005747064072,0.12290152352039392,0.12188756738120353,0.1221589083693,0.12152542149563401,0.015922857788454862,0.013337037680189723,0.011752589689884383,0.01624601076194531,0.013135444752182555,0.01550240573836988
5000,2.1571044921875,7.729228496551514,0.001335643701678925,62997009847334.58,5.566975708627817e-05,0.0010840812454560717,46403751503780.24,5.2035504529916244e-05,4.549844637050987e-05,5137295209515.097,1.2036827423553122e-06,0.12382630151793621,0.12451953693278506,0.12342975412489478,0.12081493202625684,0.12116291169343762,0.11962769254136334,0.01674178948629266,0.015702944186278357,0.010438607636059442,0.01703190044149955,0.015723849071790332,0.015307923042421057
5500,2.3120524088541665,7.868686676025391,0.0013665313642425875,63573001922116.87,5.651166115326622e-05,0.0010626164774938033,43449743709739.625,5.0519819063265794e-05,5.0030623429500224e-05,4275203750479.9478,8.134792410189316e-07,0.12353722692012603,0.12435220077342406,0.12328148578209196,0.11996260460904791,0.1210665318497935,0.1196208069841083,0.012942498245641306,0.017374008512174462,0.01035312342430124,0.01373621128768592,0.017590901138364073,0.017386735772722563
6000,2.6356201171875,8.165515422821045,0.0013171739750526673,60071050116742.72,5.506682595104556e-05,0.0011896981859404964,48052257417020.12,5.398479951909141e-05,7.877271443591582e-05,3508029215042.1987,9.896128322271249e-07,0.12284395663427046,0.12251871989544998,0.1225049742041745,0.11949579313537122,0.11880032009159401,0.11898372258149294,0.01253140478363045,0.010615202752110614,0.009508715284384696,0.013061471414176185,0.012944275187294092,0.017243782903467484
