train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
1000,1.6180419921875,3.991609811782837,4.500092109083198e-05,5883806875648.0,1.6618467952866922e-06,7.829482638044283e-05,12399447900160.0,2.9695795547013404e-06,0.008440989069640636,0.013891763985157013,0.0076385741122066975,0.009960761293768883,0.01732216589152813,0.009328971616923809,0.009960761293768883,0.01732216589152813,0.009328971616923809,0.009979869239032269,0.017315013334155083,0.009343130514025688
2000,1.6180419921875,0.3301572799682617,1.6171097740880214e-05,1637295063040.0,5.230877491158026e-07,1.4755759366380516e-05,2140999647232.0,5.463936076921527e-07,0.007360763847827911,0.011733532883226871,0.006770798470824957,0.007634999230504036,0.012651896104216576,0.0071807242929935455,0.007634999230504036,0.012651896104216576,0.0071807242929935455,0.007637469097971916,0.012659352272748947,0.0071791657246649265
3000,1.6180419921875,0.35967421531677246,1.1068388630519621e-05,1266044108800.0,3.1513667408944457e-07,9.37260210776003e-06,1083541422080.0,2.7268293933957466e-07,0.0069176992401480675,0.011445865966379642,0.006388858892023563,0.00712038716301322,0.011816048994660378,0.006625792011618614,0.00712038716301322,0.011816048994660378,0.006625792011618614,0.007172332610934973,0.011838256381452084,0.0066331252455711365
4000,1.6180419921875,0.3675265312194824,8.41785549710039e-06,960581533696.0,2.441790343254979e-07,6.346601821860531e-06,785011048448.0,2.0594281124886038e-07,0.006676647812128067,0.011103076860308647,0.006215612404048443,0.006757717113941908,0.011293846182525158,0.006327942945063114,0.006757717113941908,0.011293846182525158,0.006327942945063114,0.006818889640271664,0.01141438726335764,0.006369090639054775
5000,1.6180419921875,0.3770899772644043,6.239824870135635e-06,859253637120.0,2.1929649562935083e-07,4.923818778479472e-06,650846535680.0,1.9201010559299903e-07,0.006417691241949797,0.010878796689212322,0.006139378063380718,0.006599298678338528,0.011027120985090733,0.006259991321712732,0.006599298678338528,0.011027120985090733,0.006259991321712732,0.0066705611534416676,0.011154746636748314,0.0062895361334085464
6000,1.6180419921875,0.4023628234863281,6.781974207115127e-06,893866082304.0,2.2230742047213425e-07,4.282086592866108e-06,532089929728.0,1.5865970226514037e-07,0.006277460604906082,0.010755007155239582,0.005974499974399805,0.0064008804038167,0.010958101600408554,0.006130615249276161,0.0064008804038167,0.010958101600408554,0.006130615249276161,0.006437499541789293,0.01104677189141512,0.006161809433251619
7000,1.6180419921875,0.4239389896392822,6.1448695305443835e-06,885569552384.0,2.0007792045362294e-07,8.55935832078103e-06,1134284898304.0,2.2592377035834943e-07,0.006225079298019409,0.010607702657580376,0.00585180101916194,0.006332004442811012,0.010803614743053913,0.006033117882907391,0.006332004442811012,0.010803614743053913,0.006033117882907391,0.0063720038160681725,0.010839645750820637,0.006059663370251656
8000,1.6180419921875,0.4575939178466797,5.8149671531282365e-06,802067185664.0,1.9273917928330775e-07,7.720558642176911e-06,1054442258432.0,2.1186876608680905e-07,0.006188742816448212,0.010689428076148033,0.005831745453178883,0.00624326104298234,0.010853884741663933,0.005992497783154249,0.00624326104298234,0.010853884741663933,0.005992497783154249,0.0062894076108932495,0.010920068249106407,0.006019570864737034
9000,1.6180419921875,0.4598965644836426,6.350956937239971e-06,960085622784.0,2.0389313704072265e-07,7.0446562858705875e-06,959862669312.0,2.0068208073098504e-07,0.006206852849572897,0.010781546123325825,0.005762048531323671,0.0062521882355213165,0.010909920558333397,0.005930378567427397,0.0062521882355213165,0.010909920558333397,0.005930378567427397,0.006300466135144234,0.01095829252153635,0.005963014904409647
10000,1.6180419921875,0.5203006267547607,6.436727744585369e-06,865859469312.0,2.0042809012466023e-07,6.91066452418454e-06,890298630144.0,1.9335821832555666e-07,0.006159587763249874,0.01064505334943533,0.005705988500267267,0.00621831277385354,0.010805457830429077,0.0058547621592879295,0.00621831277385354,0.010805457830429077,0.0058547621592879295,0.006248226389288902,0.010850970633327961,0.005875478032976389
