train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.2502034505208333,6.087369441986084,2.8975349657659688e-05,745077959348.9678,4.328928560335984e-07,1.2644730123555535e-05,663079068310.4694,3.8991664944221886e-07,1.2644730123555529e-05,663079068310.4694,3.8991664944221743e-07,0.012712450256105356,0.012434273871139066,0.008166270930176639,0.014361953718364033,0.013604639958001978,0.00891055696583886,0.014361953718363936,0.013604639958001994,0.008910556965838463,0.01435664383486985,0.013610167434951996,0.00891050266931098
1000,1.2788492838541667,6.332432985305786,2.058760690993787e-05,4280334850024.602,1.1027217081998534e-06,3.870205750570055e-05,4787233861615.538,1.433011141662699e-06,3.870205750570055e-05,4787233861615.538,1.4330111416627003e-06,0.012955518071133912,0.017727394867912995,0.010880102025699253,0.01466272625687707,0.018848029998493047,0.01132825504043629,0.014662726256877028,0.018848029998493068,0.011328255040436627,0.014642173182362554,0.018800096178876714,0.011290218621203657
1500,1.3055419921875,6.523178815841675,2.625299483465488e-05,5018594004690.888,4.1030567234862123e-07,3.510300159043247e-05,3470103802392.5396,6.640030360618724e-07,3.510300159043247e-05,3470103802392.54,6.64003036061871e-07,0.013353826926878387,0.015247302932928477,0.00703792096244792,0.013720637977930812,0.015418293457657608,0.007020534789063842,0.013720637977930824,0.015418293457657621,0.007020534789063897,0.013704772963138566,0.01536779033208299,0.0070225019535442
2000,1.4077555338541667,7.666398286819458,1.7559968275609932e-05,4393041172253.8115,9.4961680218708e-07,8.581167340955938e-06,3918459226774.815,7.460727216998654e-07,8.581167340955935e-06,3918459226774.815,7.460727216998629e-07,0.006686792920444403,0.015542333867339015,0.008385940957650462,0.006552665813214302,0.015079484577240353,0.008025106855405823,0.006552665813214313,0.015079484577240352,0.008025106855405716,0.006676482298013646,0.015019473588213532,0.008042044476125504
2500,1.4696044921875,7.696647644042969,5.041996632101201e-05,3032414139887.1914,1.388610004345516e-06,3.1201402066070563e-05,2229466547946.729,1.1261938562318374e-06,3.120140206607055e-05,2229466547946.729,1.1261938562318317e-06,0.011766194863133975,0.01194072684016366,0.011116465788549815,0.011681556973195291,0.011773842807072698,0.01106912983696797,0.011681556973195346,0.011773842807072695,0.011069129836967874,0.01251956158717066,0.011700823587404404,0.011183416146536443
3000,1.5555419921875,7.806032657623291,2.9160476491088985e-05,4861241667765.928,9.071466908439083e-07,1.695528957207107e-05,3663666986568.359,6.694331912832173e-07,1.6955289572071063e-05,3663666986568.358,6.694331912832122e-07,0.008830525438959517,0.0174663722531066,0.008025354137767227,0.008875221447612942,0.017164111254696784,0.00796660041293716,0.008875221447612979,0.017164111254696784,0.007966600412937083,0.009718836969160245,0.01708711158914402,0.007939454886501371
3500,1.6818440755208333,7.860456466674805,3.870598137374832e-05,5173021048080.254,5.550360740998104e-07,2.546257275273657e-05,4019117983562.8145,4.3304863255788485e-07,2.546257275273656e-05,4019117983562.8145,4.330486325578813e-07,0.010882863609865987,0.018728824678176742,0.0075387026609335375,0.010915029681146741,0.018514411444298592,0.007509438238587688,0.010915029681146769,0.018514411444298592,0.00750943823858761,0.012163067078360222,0.01842832100854431,0.007593161045368309
4000,1.8087972005208333,8.170583248138428,2.604994775466214e-05,3702083582904.36,4.4235783863080634e-07,1.9503925423023104e-05,3122008396711.259,3.5877531555208097e-07,1.9503925423023097e-05,3122008396711.259,3.5877531555207684e-07,0.009277084126538352,0.016582732989760388,0.0063294011511712605,0.009383660419014866,0.016477789881953992,0.006348983523753892,0.009383660419014894,0.01647778988195399,0.00634898352375383,0.010396175578626427,0.01649169977862021,0.0064221684357515935
4500,2.0151774088541665,8.335221290588379,3.984663652454071e-05,3923211602074.4404,6.736887903813719e-07,2.7575130814972962e-05,3072846808373.26,5.330204268403574e-07,2.7575130814972952e-05,3072846808373.26,5.330204268403529e-07,0.010999337682984934,0.016204752544192375,0.007542599993742183,0.011141324039935847,0.016153211956032063,0.0075537915467458906,0.011141324039935879,0.016153211956032063,0.00755379154674581,0.01247161129880384,0.01614190177810245,0.007654233114950941
5000,2.1571044921875,8.571842908859253,3.4528678634488284e-05,4969606895960.097,1.2670208073934486e-06,2.304921017917349e-05,4015492790182.698,1.0719915523607311e-06,2.304921017917348e-05,4015492790182.698,1.0719915523607252e-06,0.009813984682570557,0.019514800204174877,0.010425780173106542,0.009947146006141067,0.019563292226368243,0.010533662955337808,0.009947146006141083,0.019563292226368243,0.010533662955337789,0.01148376528536555,0.01960790704879974,0.010619032761807546
