0,5,10,15,20,25,30
4.725002046237577e-34,4.687218549548045e-06,1.8307088744732597e-05,4.0201238856223974e-05,6.971645895575698e-05,0.0001062038910970097,0.00014901880058551732
3.964182605775204e-34,5.616951333970653e-06,2.2054010748423638e-05,4.8650734798227374e-05,8.470127119687598e-05,0.00012946381668620794,0.00018217018120268176
3.3400552907993315e-34,4.980036295718301e-06,1.9676301274400802e-05,4.3661420267211176e-05,7.642885828312272e-05,0.00011739922710261383,0.00016592972833502246
3.273728257153054e-34,4.405625243888809e-06,1.7443794164553088e-05,3.8805989841590975e-05,6.812845208196989e-05,0.00010499285562369645,0.00014892996919579115
3.348717461650767e-34,4.852599111539363e-06,1.9460109756883378e-05,4.3882515075207005e-05,7.815954270709551e-05,0.00012230965619341885,0.00017632909508211297
3.2065987526966153e-34,5.102993048629627e-06,2.056657471288009e-05,4.661010417279823e-05,8.343729654812168e-05,0.00013123705653286176,0.0001901832689719077
3.3275302977346617e-34,4.820099478924296e-06,1.9392355720662334e-05,4.386034968746113e-05,7.833823066239669e-05,0.00012291471433522813,0.00017765665810258832
3.2304507869354404e-34,5.271641913016615e-06,2.1229310088799296e-05,4.804922124620788e-05,8.585897035572491e-05,0.0001347406707274167,0.00019473440670803092
3.141462991147558e-34,5.4248432677090924e-06,2.1805928225660213e-05,4.927502276508057e-05,8.79246755750536e-05,0.0001378066502003826,0.00019893105667109206
2.982754661030735e-34,5.585993735138325e-06,2.2551184608927745e-05,5.118320339675367e-05,9.173365172725316e-05,0.0001444117894377097,0.000209378510923877
3.3811020147010775e-34,5.456570218910397e-06,2.2012722610008328e-05,4.9920255968297715e-05,8.938988641127682e-05,0.000140586663458305,0.00020362584735373075
3.2759673387925008e-34,5.730527139684883e-06,2.3153479422908033e-05,5.25838818087416e-05,9.42907960175548e-05,0.00014849333870337508,0.00021535671774084778
3.307377849932522e-34,5.800297839967415e-06,2.3478333801149497e-05,5.340679088729138e-05,9.589608792972694e-05,0.00015118936501583278,0.0002194586719003809
3.3640885750718694e-34,5.735616003597104e-06,2.316842241283632e-05,5.2589620924973385e-05,9.42243488823793e-05,0.00014822986457524497,0.00021469486676688984
3.395130116361346e-34,5.628215095281094e-06,2.2743309078709812e-05,5.16439755825476e-05,9.256297315577031e-05,0.00014566414826412287,0.0002110406589541229
3.592931867327885e-34,5.679852901518997e-06,2.2883505369324074e-05,5.18106896176847e-05,9.259806734425726e-05,0.00014531859190539023,0.00020998165535819868
3.4839970909983662e-34,5.695430079918269e-06,2.2937428377928115e-05,5.1908963685588114e-05,9.272428893943062e-05,0.00014542850066338913,0.00020999823757538108
3.602549344152766e-34,5.580426981403451e-06,2.2439660660161723e-05,5.070741017872392e-05,9.044971444555778e-05,0.00014166905375087395,0.00020430544736360114
3.7689629382755062e-34,5.55383609664518e-06,2.230943734827755e-05,5.035833108593088e-05,8.972653748453895e-05,0.0001403763896703247,0.00020220925269681398
3.824048632829497e-34,5.403688109410422e-06,2.1700074408385834e-05,4.89679387064143e-05,8.722213809157379e-05,0.00013641674380950942,0.00019644897721899764
3.7955468579172963e-34,5.319529132403051e-06,2.1394288657258044e-05,4.835451353570325e-05,8.627328701499007e-05,0.00013516939734306932,0.00019501086684270479
3.804355554597547e-34,5.61257059519816e-06,2.2614002145469214e-05,5.120925676661188e-05,9.154675515626979e-05,0.00014371602589445797,0.0002077461319013797
3.888398587194591e-34,5.589786856618569e-06,2.251085805866449e-05,5.0949501730498344e-05,9.103456246899705e-05,0.00014283528102840577,0.0002063601446659293
3.827693919177687e-34,5.496423926852511e-06,2.2113636582434565e-05,5.0001222466098106e-05,8.925112817123876e-05,0.00013989701403109068,0.0002019145184703508
3.8313309802000727e-34,5.598434153564233e-06,2.256519925811461e-05,5.111116724825724e-05,9.138166124437838e-05,0.0001434529008441866,0.00020732999025957084
3.7738449690515536e-34,5.637045508014084e-06,2.265686659763185e-05,5.118255619149163e-05,9.128150897282696e-05,0.00014296289910961858,0.00020617601508330375
3.7984902858204806e-34,5.644479488548643e-06,2.2659109404332508e-05,5.1123366010669104e-05,9.105941328551904e-05,0.00014243149961087643,0.00020514605354985652
3.7332639278644823e-34,5.8544992976189286e-06,2.3445576425204013e-05,5.278936446912896e-05,9.386482810761837e-05,0.00014660938765272716,0.00021091499727754292
3.7461861569511544e-34,6.004222832665031e-06,2.3993239085909415e-05,5.391562279862065e-05,9.569337625901832e-05,0.0001492154407738177,0.00021433190633720115
3.7702518674187287e-34,6.01658762883262e-06,2.4007589188018814e-05,5.387069745944408e-05,9.548057439863964e-05,0.00014868349420350658,0.00021329230742067278
3.8093527996352145e-34,6.04721837271563e-06,2.4105145303779107e-05,5.403219797422248e-05,9.566243443451338e-05,0.00014880155298308253,0.0002132231261637487
3.8384013013036023e-34,6.115501022737183e-06,2.438610911203623e-05,5.4681851522453285e-05,9.684820870914323e-05,0.0001507018509282846,0.00021602634986551234
3.8178573539531732e-34,6.24634302749555e-06,2.4830128634357053e-05,5.552398737212996e-05,9.810063191816169e-05,0.00015232341455568378,0.00021793729735342977
3.7805937321116356e-34,6.226818707058494e-06,2.4756674883805987e-05,5.536819903996637e-05,9.78387194245472e-05,0.00015193472504690606,0.0002174027876935057
3.7685981327071812e-34,6.303913009370681e-06,2.5036766296956627e-05,5.593289288647129e-05,9.872467384503221e-05,0.00015313502060990394,0.0002188698866394993
3.776715498124773e-34,6.331357125798221e-06,2.512442506055813e-05,5.608330839189567e-05,9.89145942397947e-05,0.00015332011469495208,0.0002189893609855729
3.7717714380734704e-34,6.334472419980253e-06,2.517534375978702e-05,5.6285524485326644e-05,9.943077872015497e-05,0.00015437101879865593,0.00022085126932870925
3.8266393728842105e-34,6.3066034402420664e-06,2.505681340569638e-05,5.5998258735171676e-05,9.887632773530778e-05,0.00015342715743225927,0.00021937041133832924
3.8084110133959796e-34,6.248665128073982e-06,2.4835008717977e-05,5.551919160067609e-05,9.805597521741277e-05,0.00015218794679012744,0.00021763873431211378
3.808149084319371e-34,6.285848226436181e-06,2.498483717046259e-05,5.5853511163662994e-05,9.863628527057243e-05,0.00015305937453906533,0.0002188250702830242
