0,5,10,15,20,25,30
2.2814951369631776e-15,4152880130269.0273,16350734269605.443,36144525131206.15,63017484995186.305,96398771425561.73,135678598377702.5
2.2402741716868422e-15,4883221160390.904,19171720087773.043,42264231080565.95,73493479331181.31,112143305295936.58,157465802182963.0
2.9534003728782586e-15,4214169111748.909,16638611757332.98,36876768385931.24,64447834270366.414,98799656317688.8,139323977984282.86
2.4766741118213837e-15,3406552895741.6416,13465982419953.28,29885334193664.023,52306392672839.6,80313956262768.25,113446351539324.31
2.485877360812415e-15,3571809566397.2456,14219464795562.846,31794892630476.35,56093758326203.67,86863876693679.0,123814733328982.53
2.390233522850718e-15,4050565274777.5586,16238089996334.852,36571694535740.43,65008234190861.14,101462410193905.7,145817132877518.72
2.3269093046062353e-15,3733730413247.0527,14951605000586.602,33635198558078.926,59715474030256.875,93082921848092.6,133597903302529.42
2.3646077461851637e-15,4263538509498.703,17143682179996.818,38715416849091.45,68978701521049.22,107865676841217.23,155249613654842.88
2.5955605462834473e-15,4473915154031.8125,18015354803518.18,40747215638745.914,72716668272686.7,113897260946864.92,164193439950858.9
2.5427292147264202e-15,4708976432976.6,19107806382057.67,43565704268368.69,78394601749682.38,123842756423438.11,180089521295330.66
2.4595438913045064e-15,4480255788198.753,18166836835995.19,41386207977230.305,74403871249631.95,117419747848932.7,170564986974444.1
2.5405459214608542e-15,5049004453227.773,20499046187321.4,46757588074123.68,84165344190269.66,132991936189203.69,193432196725673.12
2.9103745926636854e-15,5269877395735.443,21433890071585.42,48962050739556.66,88237186463338.64,139550510182041.05,203099234150760.44
3.1684218809836985e-15,5173679364174.286,21007597611536.703,47907992086122.96,86193091130374.48,136090316621633.7,197735609961381.28
3.0995686562069484e-15,4995556763160.88,20294620549564.68,46304810853222.766,83347740533566.7,131655170675084.16,191367376362770.47
3.009953543801346e-15,5040392190942.27,20396858314128.367,46364053131652.32,83156953231401.06,130909858981799.97,189676847496520.44
3.1036187754446414e-15,5168236996151.054,20930649865934.734,47604754332914.33,85412726159863.19,134479689843626.89,194834602506569.9
3.0653406330830894e-15,5067674859091.534,20480551338428.652,46488079419998.4,83250439412473.22,130838075101442.84,189233573364173.94
3.098150788531678e-15,5016107949005.581,20248388127504.062,45906080889390.19,82108702825709.0,128887272141467.78,186187742799574.84
2.9864666953825975e-15,4910057392878.528,19802068005971.367,44850534287551.86,80139569927633.12,125665978158580.53,181344477566641.72
2.8844101191310526e-15,4772300205299.075,19261523027968.6,43659663677772.16,78070082767714.28,122509874907068.7,176914477904934.0
2.8055480082096908e-15,5522996552314.831,22430505176998.297,51165453750386.52,92074799956564.44,145399488520206.06,211267107968316.0
2.815312378405973e-15,5472163389171.4795,22208993040678.5,50623993801859.88,91032143302711.16,143640582597559.12,208542355461966.6
2.778234431034528e-15,5314445607057.894,21557154675365.984,49110481670459.56,88259727639224.16,139185188345072.0,201957161630393.44
2.8146001238658835e-15,5445674011400.747,22127956916804.836,50494729523910.695,90889482195823.78,143540018907996.38,208550786968577.44
2.7638954285400636e-15,5431249859378.656,22006316011799.26,50084638143776.73,89932751041952.25,141714220371615.2,205482455305565.62
2.7592185937355744e-15,5486281618880.893,22190163106882.19,50412176583986.805,90356381917996.4,142123432559669.8,205706393579740.66
2.7054901915773598e-15,5605424117362.02,22608550725406.95,51238673404147.39,91648124804096.39,143902583626194.72,207973882046623.1
2.6812669443226703e-15,5754115015787.207,23179110595881.08,52473834297218.28,93765835539142.55,147099182901739.78,212425170367239.22
2.704840313343047e-15,5813685105279.327,23356105001066.93,52739981851305.766,94016079969396.67,147162376289782.47,212075400141384.84
2.7092426372769225e-15,5873142141508.974,23562552163947.66,53132210845708.266,94583368830688.67,147845444086043.56,212768915231166.6
2.69294172292042e-15,5954568684322.826,23897005017142.152,53906543151647.695,96002388446572.98,150133996056187.56,216172907926857.7
2.7266402274822116e-15,6215361081403.208,24765542568843.336,55514655454118.32,98321650755907.55,153020972989487.28,219405220617724.7
2.67028664030032e-15,6124075064180.821,24408524118770.418,54728338799649.086,96951728622384.7,150920979080056.16,216435361187765.2
2.7378446585573673e-15,6303102155559.26,25070917020637.207,56094028470419.88,99155014293115.98,154013661511171.62,220393383789577.6
2.8295943521892652e-15,6283767705528.681,24971346317437.44,55821023669688.08,98585976501303.9,153000965399429.78,218769706819820.94
2.7817453865406914e-15,6267544731662.28,24936862482451.555,55811264406672.02,98687122770710.58,153339290134580.16,219507329384110.7
2.8253597191017677e-15,6288981926208.465,25012723385353.465,55951454588892.65,98869231580406.0,153502053399800.94,219547115221068.22
2.8149078648560102e-15,6214242608518.236,24726236649674.36,55331804703128.8,97806240296166.61,151892439067064.72,217290476141740.88
2.807599473576606e-15,6266415873560.366,24938448313919.496,55810040304472.51,98645567086923.12,153169072440992.9,219055409830293.5
