train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
1000,1.6180419921875,0.842301607131958,0.005627318751066923,287235870031872.0,0.00023769283143337816,0.0038261660374701023,173871986638848.0,0.00021294863836374134,0.23766854405403137,0.2370368391275406,0.23697590827941895,0.26465269923210144,0.27485308051109314,0.2700868546962738,0.07359818369150162,0.08521758764982224,0.0785474181175232,0.08040162920951843,0.09131361544132233,0.0842539444565773
2000,1.6180419921875,0.32566213607788086,0.0048019313253462315,219599194816512.0,0.0002050578623311594,0.0029715329874306917,120022777200640.0,0.00015301154053304344,0.24628625810146332,0.24532166123390198,0.24517764151096344,0.25648191571235657,0.26166781783103943,0.2586616277694702,0.047745756804943085,0.058621376752853394,0.05323009565472603,0.05726690590381622,0.06658323854207993,0.06252874433994293
3000,1.6180419921875,0.3634321689605713,0.0047879405319690704,219173120638976.0,0.000202991024707444,0.004039198160171509,169487563227136.0,0.00020305182260926813,0.24956953525543213,0.24847204983234406,0.2486647367477417,0.25482508540153503,0.25659504532814026,0.2558995485305786,0.0441218763589859,0.04760483652353287,0.04601249098777771,0.0538293719291687,0.05600408837199211,0.054420460015535355
4000,1.6180419921875,0.4105184078216553,0.004567149560898542,206627336617984.0,0.00019419514865148813,0.004317928105592728,174061921501184.0,0.00020917302754241973,0.25486695766448975,0.2538391351699829,0.2538725435733795,0.2565140426158905,0.25830382108688354,0.2573745548725128,0.03694898262619972,0.040977634489536285,0.0392146110534668,0.04627768695354462,0.0491655133664608,0.04769078642129898
5000,1.6180419921875,0.4420359134674072,0.005119591485708952,239355440398336.0,0.00021727682906202972,0.004422182682901621,194599062601728.0,0.00021937242127023637,0.2564455568790436,0.2557264268398285,0.2557571828365326,0.2514772415161133,0.25275424122810364,0.2520086169242859,0.033251091837882996,0.03770739585161209,0.03542398661375046,0.04532071575522423,0.049078479409217834,0.047609977424144745
6000,1.6180419921875,0.4842829704284668,0.005029086489230394,233656773771264.0,0.00021443358855322003,0.004863234702497721,217361818845184.0,0.0002338195772608742,0.2541099190711975,0.25328803062438965,0.25336122512817383,0.24922607839107513,0.250243216753006,0.2503017783164978,0.03032335452735424,0.0341566763818264,0.03333837538957596,0.04656369611620903,0.049106448888778687,0.048230525106191635
7000,1.6180419921875,0.5442752838134766,0.004795602522790432,219375135096832.0,0.00020545253937598318,0.004704603459686041,217104976445440.0,0.0002280002663610503,0.25348740816116333,0.25280967354774475,0.2529422342777252,0.24728399515151978,0.24921201169490814,0.24851402640342712,0.03085697442293167,0.03440171852707863,0.033306919038295746,0.04679698124527931,0.04889029264450073,0.04825259745121002
8000,1.6180419921875,0.5829043388366699,0.004903800785541534,222107355054080.0,0.00021138257579877973,0.004554641433060169,199998457249792.0,0.00021927483612671494,0.25414136052131653,0.2535979151725769,0.25373244285583496,0.24973593652248383,0.25065121054649353,0.2507072687149048,0.03194303438067436,0.034137655049562454,0.03379683941602707,0.04663072153925896,0.04914366826415062,0.048398662358522415
9000,1.6180419921875,0.6218559741973877,0.00518424017354846,235920070541312.0,0.00021985478815622628,0.004321593325585127,194219662639104.0,0.00020862207747995853,0.2536129653453827,0.2532094120979309,0.2532784342765808,0.2502908408641815,0.251260906457901,0.25095632672309875,0.03152672201395035,0.033707041293382645,0.032262519001960754,0.045826300978660583,0.04700089991092682,0.04593885317444801
10000,1.6180419921875,0.6913495063781738,0.005125458352267742,232648379203584.0,0.00021810978068970144,0.004163180012255907,187162880376832.0,0.00020090697216801345,0.2534060478210449,0.25292885303497314,0.25300976634025574,0.2513383626937866,0.252632737159729,0.2522081434726715,0.028457745909690857,0.03210635483264923,0.03038267232477665,0.04440593346953392,0.04640301689505577,0.04569271206855774
11000,1.6186930338541667,0.7368319034576416,0.005052539519965649,225360406904832.0,0.00021579703025054187,0.005027886480093002,253929455616000.0,0.00022384838666766882,0.2534095048904419,0.2529332935810089,0.25297728180885315,0.2525138258934021,0.2537744641304016,0.25320085883140564,0.026869650930166245,0.02990470826625824,0.028119299560785294,0.04398924484848976,0.045793648809194565,0.045159712433815
12000,1.6199951171875,0.7818794250488281,0.005397560074925423,242067880017920.0,0.0002263919304823503,0.004829953890293837,237967830417408.0,0.00021594364079646766,0.25326743721961975,0.2528330385684967,0.2528661787509918,0.2521570324897766,0.25315624475479126,0.25275081396102905,0.025750426575541496,0.028654523193836212,0.02703634649515152,0.04380523040890694,0.045189812779426575,0.045302506536245346
13000,1.6199951171875,0.8416423797607422,0.005322424229234457,236806897401856.0,0.00022523671214003116,0.004897656850516796,239824044818432.0,0.00021977793949190527,0.2535364627838135,0.2530713379383087,0.25310268998146057,0.25094738602638245,0.25174638628959656,0.2514330744743347,0.02553671784698963,0.027778200805187225,0.027155447751283646,0.04313180223107338,0.04391909018158913,0.044174425303936005
14000,1.6199951171875,0.8972740173339844,0.005278044380247593,232943758868480.0,0.00022423059272114187,0.005020435433834791,240621717553152.0,0.00022455306316260248,0.2540951073169708,0.2536664605140686,0.25371992588043213,0.2531423270702362,0.2538573145866394,0.2535495460033417,0.02525009959936142,0.02720794640481472,0.02625761553645134,0.0434253104031086,0.044535428285598755,0.044206127524375916
15000,1.6199951171875,0.9713685512542725,0.005358537659049034,231846596050944.0,0.0002260962501168251,0.005145925097167492,243557948456960.0,0.00022838055156171322,0.2537175714969635,0.25333747267723083,0.25338518619537354,0.25403928756713867,0.2546864151954651,0.2543298900127411,0.025583457201719284,0.02688307873904705,0.02582058310508728,0.04414741322398186,0.04500802978873253,0.044408608227968216
16000,1.6199951171875,1.0082628726959229,0.0052534365095198154,227643098136576.0,0.000223862225539051,0.005154539830982685,244138960224256.0,0.00022984508541412652,0.2542342245578766,0.25382527709007263,0.25386354327201843,0.25644010305404663,0.25686168670654297,0.2568087577819824,0.024740945547819138,0.02638159692287445,0.025879595428705215,0.04366806894540787,0.04452876001596451,0.04394710808992386
17000,1.6199951171875,1.0963537693023682,0.005256103351712227,225315326525440.0,0.00022422274923883379,0.005197048652917147,242416225353728.0,0.0002310466079507023,0.2543715834617615,0.2540455758571625,0.25404712557792664,0.2561609745025635,0.25657036900520325,0.2565033435821533,0.02385684661567211,0.025836968794465065,0.025131501257419586,0.043269429355859756,0.04444563761353493,0.04325991868972778
