train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.5848388671875,0.8851227760314941,0.0028407069261659635,139070214120199.55,0.00011655677558941128,0.0017591024479004372,70690029451970.52,9.256662885621253e-05,0.00023614191510987908,35501166555188.86,1.7743779789340666e-05,0.14616456276935763,0.1425745014826404,0.14389450444692387,0.17897340049332844,0.18028881221735446,0.17971312422540625,0.06938664897604065,0.07571968846521891,0.07008292509259602,0.07186317998793493,0.0760147706360244,0.07038279276873612
1000,1.5848388671875,0.40589213371276855,0.0026423363129665428,139557487845291.77,0.00010981605553171233,0.0018756839719781579,91142669676659.98,0.00010366354736279642,0.0004899541413026593,55093348593902.32,2.6460102628798276e-05,0.15239576470694333,0.1520752440223458,0.15208353685606604,0.17327371934892166,0.17943127588609042,0.17667105031682898,0.05337844494324178,0.05879357970369546,0.055439652315713725,0.055668324074557345,0.06056397717139406,0.05759149861492589
1500,1.5848388671875,0.41494297981262207,0.0024605449385979227,124575389210124.45,0.00010444986744703348,0.001535457114473217,74061908255234.66,8.130366262384513e-05,0.0005564588584340515,53598455635735.77,2.468225236513283e-05,0.15639118374586963,0.1559736118505318,0.1557490763671818,0.1656002040309864,0.16903497579132232,0.16700664739541082,0.03820479463502221,0.04491062730873566,0.040565950004911346,0.03902768738745258,0.04638063213880516,0.04197532226413648
2000,1.5848388671875,0.458406925201416,0.0022735929179014485,107972205827744.86,9.642027278684125e-05,0.0014652738979732695,70028859759414.48,7.598565094903679e-05,0.0004976615974730962,50886782738343.18,2.095437673524563e-05,0.15845125866778476,0.15781373204414126,0.1578146567362748,0.1664908899413416,0.16917714431951072,0.1679027296889156,0.034454257452678674,0.04030940727633874,0.038485699873101055,0.03773400657193746,0.042956926666989775,0.04076325322616082
2500,1.5854899088541667,0.4987609386444092,0.0024585788485487663,123401441736188.8,0.00010342475422807272,0.0015941961005589472,67343934286150.734,8.409499193092119e-05,0.0003380316695281923,36259057847778.59,1.5799873303558377e-05,0.159940966235007,0.15949100217210202,0.15919780430911606,0.16543300673118513,0.16750766708226142,0.16632746642754698,0.030875420387656647,0.036971669634198075,0.03413216269199007,0.03542661951077735,0.04031024541289864,0.0373236915487896
3000,1.5861409505208333,0.5549063682556152,0.002228855197280355,110654316751961.9,9.391343537294842e-05,0.001876841656456504,91554104652964.97,9.366375989004527e-05,0.0002474770283369164,33945930604029.49,1.1990460893093314e-05,0.16075563930948503,0.16040116939197926,0.1602270154205262,0.1658545678668056,0.1675178247914886,0.16654231107306713,0.029775912923093326,0.03324630871502346,0.03158028162924655,0.032549988189066514,0.035719888122259194,0.03340710093729629
3500,1.5867919921875,0.6059577465057373,0.002272669848752489,105667029341388.44,9.411237326959635e-05,0.0017614080264277336,73317510489957.4,8.67424290096357e-05,0.00018245781519534373,19134427029633.266,8.18084830022312e-06,0.16352488680285263,0.16307257255800603,0.1629387877083833,0.16535725750705327,0.16660210594888983,0.16597971270414458,0.030037106346740405,0.03181002884638911,0.030680964153165177,0.03175278953107442,0.03340460815152234,0.03206929081061952
4000,1.5867919921875,0.6660351753234863,0.002105789918012664,100001657338072.83,8.919957930441655e-05,0.001975290474090576,87669229443302.92,9.472137015362756e-05,0.00018931009551845845,23416829932098.438,8.596279741543967e-06,0.1639804462722371,0.16342120467720997,0.16336397531470123,0.16559011524197464,0.16699250955399844,0.16635433283871687,0.025424393755545217,0.0282958951992188,0.02732785213091609,0.027650719279048153,0.030026230067448336,0.029177912735103423
4500,1.5867919921875,0.6930572986602783,0.0022539309204737536,106473402834303.4,9.398943854871871e-05,0.001954756543702416,88142877771604.69,9.492583418390507e-05,0.0001433254365494065,19304374498474.16,7.630411943887146e-06,0.1639867196976855,0.16352727016235105,0.1635187615266618,0.16530772577158662,0.16695467298221642,0.16620653186072085,0.023614570347160458,0.025924070493278172,0.024828359026116555,0.02666782690640374,0.02859081732574422,0.027778748347029498
5000,1.5867919921875,0.704927921295166,0.0023634365433204446,114155734525773.12,9.890424283722681e-05,0.002001178708131507,90831672979132.66,9.763926386491769e-05,0.00010411568221738736,15619912651341.635,5.485294309058418e-06,0.1650118229432924,0.1646949700958236,0.16466393057426507,0.16262691024605683,0.163539907451818,0.16275619273728067,0.023058740049280543,0.025450230129725145,0.0242033844774388,0.026755438573651587,0.029097866145391105,0.027396671082738463
