train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,1.5848388671875,0.9441475868225098,0.000705496048807525,34856754892685.098,2.8665523001607406e-05,0.0004449609121540478,21893199631840.91,2.594531365404278e-05,8.314305343334538e-05,20464353491089.965,8.16224521529742e-06,0.07134148192855222,0.0721264604587913,0.07063378223505383,0.088996125281521,0.09029828842801223,0.08920142567877666,0.03759089549594787,0.04340097661464908,0.03878566785667371,0.03714903515857255,0.043261379175748724,0.03954085547644242
1000,1.5848388671875,0.42231035232543945,0.0007397929085232221,46044787029100.766,3.015588169270031e-05,0.0005679804267697524,42161620057872.94,3.0549409912487554e-05,0.00025798570916391977,37185271608949.91,1.1219764535241871e-05,0.07478638233245045,0.07544611431181242,0.07460563674446581,0.08682448541369035,0.0903880196962597,0.08853831644574281,0.02928220721873355,0.03326980184684285,0.03065468041719811,0.02959650194769235,0.033733176173190424,0.031184738142223632
1500,1.5848388671875,0.501312255859375,0.0006733220484667599,38917604467167.8,2.914768972217251e-05,0.0004397688168612975,25113093889781.574,2.468848281730308e-05,0.000204396920126201,21184457488936.336,1.0933323212980623e-05,0.07680320018897516,0.07703904299463232,0.0764607847855432,0.081778058429338,0.08350948692955858,0.08296936102320226,0.021411110818793933,0.024870327887713824,0.02326016073249032,0.021497242247622894,0.02485055212224075,0.02327609601875337
2000,1.5854899088541667,0.5424392223358154,0.0006274391657610151,31930346607004.113,2.637167912077418e-05,0.0004404330309039907,24534762998770.88,2.222124127389208e-05,0.00020083826102601244,20316235849539.293,8.621913524836508e-06,0.07769756206541271,0.07788909303971761,0.07740037894672769,0.08257466165921132,0.08363437938538766,0.08274963723430637,0.01956439377522686,0.02216077833674121,0.020553130505356003,0.02015736697510733,0.02249927566695454,0.020847735926837196
2500,1.5854899088541667,0.6132469177246094,0.0006656654948274148,35362789415871.09,2.8334957768325986e-05,0.0004437940577373994,20449897798068.52,2.3065867745499503e-05,0.00013116608796745398,11879456717994.002,6.367085242934943e-06,0.07850660193148028,0.07858715339994046,0.07812893481191391,0.08232903153669303,0.08268908828535144,0.08263308554104312,0.018134915611691158,0.01919513510376311,0.01913929855867054,0.018598728372479726,0.019696413588615985,0.01945992040564605
3000,1.5867919921875,0.6776046752929688,0.0006114329143465896,31971383798033.17,2.5766455157182964e-05,0.000546437514171445,26865975043587.65,2.6140701356870127e-05,0.000133856198868813,12053149465080.83,5.8566808586373914e-06,0.0789400845459934,0.0790975758799371,0.0786638803696074,0.08277043305910188,0.08319370365048163,0.08277569928772456,0.01657042718282498,0.018251642363218253,0.016720614186727437,0.016906535076203887,0.018409808056012673,0.016832565371916505
3500,1.5867919921875,0.7328271865844727,0.000614272472043437,30526291813337.848,2.5547316635425857e-05,0.000506109837356547,24000985213718.88,2.5044805307113874e-05,9.965539841890718e-05,10445331907076.572,5.200842352807991e-06,0.08015318879859669,0.08023069752518089,0.07985995280228167,0.08185688121677676,0.08246477877890081,0.08216611485970915,0.015749706583702158,0.017265092343415334,0.01583295256958094,0.015783617426074092,0.01708029591208751,0.015725496626447573
4000,1.5867919921875,0.8229308128356934,0.000566894768804548,28868551822472.152,2.4228739419981477e-05,0.0005377808038070126,27832258487609.496,2.6437227785381124e-05,8.068171984891932e-05,11502996757479.227,4.673148304057949e-06,0.08033463950223578,0.08031229772914895,0.08001746143673366,0.08141529475245339,0.08248355619376041,0.08192609168186243,0.013738004536148785,0.015487253915909466,0.01467087590028695,0.013805647233417448,0.01520707943255426,0.014511191086724303
4500,1.5867919921875,0.840430736541748,0.0006016372120419228,29493789691772.203,2.474405389962371e-05,0.0005271960462799531,23775283627595.96,2.4986915487274243e-05,6.199639564227438e-05,6403558777331.556,2.9176413331528566e-06,0.08038580573762347,0.0803613783020705,0.08012317717005754,0.08125180307427504,0.08213695387860445,0.08170821586142901,0.012792274185258431,0.015012794833489917,0.013058362409211577,0.012776439764625407,0.014862689124219754,0.013059264938982927
5000,1.5867919921875,0.9235501289367676,0.0006256595141573131,31390458896520.84,2.601445347944714e-05,0.000520460033929524,24317776619259.707,2.500649558387421e-05,4.406516161953451e-05,5368183058967.456,1.950735441837232e-06,0.08084422238429086,0.0809077263789846,0.08065427427766661,0.07983172424711625,0.08051155972642869,0.08007455904216615,0.012517488765547714,0.014277460648222464,0.012931529804724187,0.0129256921913054,0.014454359826560346,0.013210981907997453
